Batting Average (bin),height weight ratio,HR is 0,Highest BA,BA is 0,Search for name BA,Search for name HR,Right Handed,Home Runs,Home Runs ,Home Runs (bins of 20),Number of Players,Weight ranges (pounds),Weight (lb) ,Batting Average,Handedness,Height (inches),Name,Weight
0.00,0.435294118,True,False,True,True,True,True,0,0,0,1,170,170,0,Right,74,Luis Sanchez,170
0.26,0.4,False,False,False,True,True,True,44,40,40,1,175,175,0.272,Right,70,Bob Johnson,175
0.26,0.41875,False,False,False,True,True,False,93,90,80,1,160,160,0.264,Both,67,Don Buford,160
0.26,0.411428571,False,False,False,True,True,False,1,0,0,1,175,175,0.271,Left,72,Duane Kuiper,175
0.24,0.348837209,False,False,False,True,True,True,38,30,20,1,215,215,0.247,Right,75,Brant Alyea,215
0.21,0.365853659,False,False,False,True,True,False,21,20,20,1,205,205,0.211,Left,75,Jerry Narron,205
0.26,0.417647059,False,False,False,True,True,True,48,40,40,1,170,170,0.258,Right,71,Lou Johnson,170
0.26,0.389189189,False,False,False,True,True,False,14,10,0,1,185,185,0.264,Left,72,Ken Retzer,185
0.26,0.379487179,False,False,False,True,True,True,23,20,20,1,195,195,0.265,Right,74,Mike Brown,195
0.00,0.379487179,True,False,True,True,True,True,0,0,0,1,195,195,0,Right,74,Mike Brown,195
0.26,0.365853659,False,False,False,True,True,False,113,110,100,1,205,205,0.26,Left,75,Greg Walker,205
0.24,0.389743590,False,False,False,True,True,True,36,30,20,1,195,195,0.253,Right,76,Terry Harper,195
0.24,0.436363636,False,False,False,True,True,True,40,40,40,1,165,165,0.249,Right,72,Jerry Royster,165
0.00,0.374358974,True,False,True,True,True,False,0,0,0,1,195,195,0,Left,73,Steve Davis,195
0.00,0.370731707,True,False,True,True,True,False,0,0,0,1,205,205,0,Left,76,Jeff Rineer,205
0.26,0.394736842,False,False,False,True,True,True,56,50,40,1,190,190,0.272,Right,75,Barry Bonnell,190
0.14,0.374358974,False,False,False,True,True,True,12,10,0,1,195,195,0.154,Right,73,Tom Seaver,195
0.24,0.374358974,False,False,False,True,True,True,85,80,80,1,195,195,0.251,Right,73,Jerry Martin,195
0.26,0.411764706,False,False,False,True,True,True,44,40,40,1,170,170,0.267,Right,70,Bill Stein,170
0.26,0.4,False,False,False,True,True,True,80,80,80,1,180,180,0.265,Right,72,Joel Youngblood,180
